Student ID,Punctual,Organized,Team Work,Quick Learner,Technology,Communication,Programming,Design,Sales,Logical,Creative
2020100,1,9,4,7,7,5,1,5,5,7,7
2020101,1,8,7,8,7,1,6,4,8,8,7
2020102,1,5,8,2,10,9,7,3,5,2,10
2020103,1,7,9,9,7,6,7,7,8,9,7
2020104,0,9,1,1,4,7,3,7,1,1,4
2020105,0,7,3,7,7,4,9,5,6,7,7
2020106,1,3,5,2,6,2,5,3,5,2,6
2020107,1,7,4,1,3,10,10,5,3,1,3
2020108,1,9,1,9,4,3,7,6,10,9,4
2020109,0,1,6,10,5,7,4,1,4,10,5
2020110,0,1,1,4,1,4,9,4,5,4,1
2020111,0,9,1,1,9,6,2,1,5,1,9
2020112,0,3,2,2,7,7,5,4,7,2,7
2020113,1,2,10,9,1,3,9,2,1,9,1
2020114,0,6,10,1,10,8,6,2,1,1,10
2020115,0,9,10,4,9,9,9,5,3,4,9
2020116,0,7,2,10,4,5,1,6,5,10,4
2020117,1,3,7,9,4,6,6,2,10,9,4
2020118,0,6,6,7,5,1,7,3,5,7,5
2020119,1,4,6,1,4,9,9,3,3,1,4
2020120,0,3,10,4,4,7,4,3,10,4,4
2020121,1,3,7,5,4,4,4,9,6,5,4
2020122,1,9,3,7,9,5,2,2,10,7,9
2020123,0,10,4,1,8,7,2,1,10,1,8
2020124,0,1,6,7,9,1,8,10,7,7,9
2020125,1,8,9,1,10,2,7,7,5,1,10
2020126,1,8,2,2,4,9,2,10,1,2,4
2020127,0,5,5,7,6,5,1,8,4,7,6
2020128,1,5,10,2,3,10,10,8,7,2,3
2020129,0,3,1,8,8,5,2,10,6,8,8
2020130,0,2,3,10,4,6,1,7,6,10,4
2020131,0,3,4,5,9,3,1,2,3,5,9
2020132,0,8,2,7,6,5,2,8,8,7,6
2020133,0,2,7,1,6,3,7,5,10,1,6
2020134,1,8,5,2,2,10,10,4,1,2,2
2020135,0,1,2,7,7,6,10,8,9,7,7
2020136,1,5,9,8,2,3,5,10,10,8,2
2020137,0,4,2,8,2,10,10,10,3,8,2
2020138,1,6,10,9,7,3,7,3,3,9,7
2020139,0,8,3,7,9,5,4,8,8,7,9
2020140,0,6,6,5,8,9,2,3,10,5,8
2020141,0,7,4,8,6,7,2,7,6,8,6
2020142,0,1,9,7,1,1,5,1,4,7,1
2020143,1,1,4,1,9,2,7,7,3,1,9
2020144,1,10,4,5,7,6,8,3,8,5,7
2020145,0,1,2,3,4,4,5,4,8,3,4
2020146,1,9,3,8,1,2,10,5,4,8,1
2020147,1,2,3,3,9,3,7,10,8,3,9
2020148,0,1,3,4,1,2,1,2,4,4,1
2020149,0,6,10,9,5,8,4,1,6,9,5
2020150,1,2,5,9,6,5,3,5,4,9,6
2020151,0,5,10,1,8,4,3,1,8,1,8
2020152,1,6,3,8,4,4,2,5,4,8,4
2020153,0,5,7,3,8,2,2,10,4,3,8
2020154,0,6,4,8,2,7,1,1,7,8,2
2020155,0,1,7,5,10,8,3,2,7,5,10
2020156,1,8,6,10,6,2,5,10,3,10,6
2020157,1,2,10,3,9,8,1,1,9,3,9
2020158,1,4,2,2,10,4,6,1,9,2,10
2020159,1,6,1,2,2,9,8,7,8,2,2
2020160,1,9,5,5,8,8,8,5,1,5,8
2020161,1,10,5,10,9,6,4,5,3,10,9
2020162,1,3,1,9,6,1,6,9,4,9,6
2020163,1,6,8,9,4,2,5,6,8,9,4
2020164,0,6,10,10,5,3,8,8,7,10,5
2020165,0,5,9,9,9,5,8,4,1,9,9
2020166,0,4,3,3,1,2,9,7,6,3,1
2020167,1,3,2,5,5,4,2,10,9,5,5
2020168,1,3,7,7,1,4,4,7,7,7,1
2020169,1,5,9,2,8,10,1,3,1,2,8
2020170,1,6,6,3,2,1,2,7,7,3,2
2020171,0,8,7,10,5,8,2,2,7,10,5
2020172,1,10,8,7,2,8,6,5,6,7,2
2020173,1,4,10,2,5,6,9,1,4,2,5
2020174,1,8,9,5,10,2,4,4,10,5,10
2020175,0,3,4,1,8,8,1,8,3,1,8
2020176,1,10,7,10,1,5,4,3,9,10,1
2020177,0,10,10,1,10,2,2,3,3,1,10
2020178,0,8,10,1,10,5,1,9,4,1,10